x y
-12.566370614359172 -3.8981718325193755e-17
-12.565370584865748 -7.9586138744495e-05
-12.564370555372326 -0.00015918486680899037
-12.563370525878902 -0.00023879610759667533
-12.562370496385478 -0.00031841978448604493
-12.561370466892056 -0.00039805582083143334
-12.560370437398632 -0.0004777041399635082
-12.559370407905208 -0.0005573646651884918
-12.558370378411785 -0.0006370373197886559
-12.557370348918361 -0.0007167220270228158
-12.556370319424937 -0.000796418710125552
-12.555370289931515 -0.0008761272923077043
-12.554370260438091 -0.0009558476967568673
-12.553370230944667 -0.0010355798466366107
-12.552370201451245 -0.001115323665086975
-12.55137017195782 -0.0011950790752249657
-12.550370142464397 -0.0012748460001437746
-12.549370112970974 -0.0013546243629132754
-12.54837008347755 -0.0014344140865805177
-12.547370053984126 -0.0015142150941689484
-12.546370024490704 -0.0015940273086789078
-12.54536999499728 -0.0016738506530881237
-12.544369965503856 -0.001753685050350933
-12.543369936010434 -0.0018335304233987766
-12.54236990651701 -0.0019133866951406954
-12.541369877023586 -0.001993253788462551
-12.540369847530162 -0.002073131626227662
-12.53936981803674 -0.0021530201312765927
-12.538369788543315 -0.002232919226427791
-12.537369759049891 -0.002312828834476806
-12.536369729556469 -0.0023927488781967875
-12.535369700063045 -0.00247267928033898
-12.534369670569621 -0.002552619963631944
-12.533369641076199 -0.0026325708507820497
-12.532369611582775 -0.002712531864473978
-12.53136958208935 -0.0027925029273699353
-12.530369552595928 -0.0028724839621101545
-12.529369523102504 -0.002952474891313389
-12.52836949360908 -0.0030324756375761327
-12.527369464115658 -0.003112486123473116
-12.526369434622234 -0.003192506271557807
-12.52536940512881 -0.0032725360043616243
-12.524369375635388 -0.0033525752443944396
-12.523369346141964 -0.0034326239141450727
-12.52236931664854 -0.00351268193608051
-12.521369287155117 -0.0035927492326464027
-12.520369257661693 -0.003672825726267564
-12.51936922816827 -0.003752911339347189
-12.518369198674847 -0.0038330059942673503
-12.517369169181423 -0.003913109613389498
-12.516369139687999 -0.003993222119053676
-12.515369110194577 -0.004073343433579022
-12.514369080701153 -0.004153473479264263
-12.513369051207729 -0.004233612178386938
-12.512369021714306 -0.004313759453203891
-12.511368992220882 -0.004393915225951774
-12.510368962727458 -0.004474079418846258
-12.509368933234036 -0.00455425195408254
-12.508368903740612 -0.0046344327538358375
-12.507368874247188 -0.004714621740260606
-12.506368844753766 -0.004794818835491038
-12.505368815260342 -0.004875023961641561
-12.504368785766918 -0.004955237040806057
-12.503368756273495 -0.0050354579950583605
-12.502368726780071 -0.005115686746452758
-12.501368697286647 -0.005195923217023204
-12.500368667793225 -0.005276167328783819
-12.499368638299801 -0.005356419003729396
-12.498368608806377 -0.005436678163834609
-12.497368579312955 -0.005516944731054515
-12.49636854981953 -0.005597218627325057
-12.495368520326107 -0.005677499774562275
-12.494368490832683 -0.005757788094662957
-12.49336846133926 -0.0058380835095044135
-12.492368431845836 -0.0059183859409451325
-12.491368402352412 -0.005998695310823987
-12.49036837285899 -0.006079011540960741
-12.489368343365566 -0.006159334553156546
-12.488368313872142 -0.006239664269193159
-12.48736828437872 -0.0063200006108334395
-12.486368254885296 -0.006400343499821857
-12.485368225391872 -0.0064806928578837
-12.48436819589845 -0.0065610486067255785
-12.483368166405025 -0.006641410668035928
-12.482368136911601 -0.00672177896348422
-12.481368107418179 -0.0068021534147214655
-12.480368077924755 -0.006882533943380718
-12.479368048431331 -0.0069629204710762865
-12.478368018937909 -0.007043312919404234
-12.477367989444485 -0.007123711209942883
-12.47636795995106 -0.007204115264252031
-12.475367930457638 -0.0072845250038734485
-12.474367900964214 -0.007364940350331382
-12.47336787147079 -0.007445361225131768
-12.472367841977368 -0.0075257875497627405
-12.471367812483944 -0.00760621924569512
-12.47036778299052 -0.007686656234381642
-12.469367753497098 -0.007767098437257449
-12.468367724003674 -0.0078475457757406
-12.46736769451025 -0.007927998171231278
-12.466367665016827 -0.008008455545112297
-12.465367635523403 -0.0080889178187496
-12.46436760602998 -0.008169384913491479
-12.463367576536557 -0.008249856750669074
-12.462367547043133 -0.008330333251596869
-12.461367517549709 -0.008410814337571923
-12.460367488056287 -0.008491299929874352
-12.459367458562863 -0.008571789949767846
-12.458367429069439 -0.008652284318498878
-12.457367399576016 -0.008732782957297208
-12.456367370082592 -0.008813285787376385
-12.455367340589168 -0.008893792729932957
-12.454367311095746 -0.00897430370614698
